temperature,city,pression,date
271.93,paris,1027,2024-01-08 10:33
276.25,london,1031,2024-01-08 10:33
269.46,washington,1022,2024-01-08 10:33
304.22,ouagadougou,1014,2024-01-08 10:33
303.38,accra,1012,2024-01-08 10:33
271.93,paris,1027,2024-01-08 10:32
276.25,london,1031,2024-01-08 10:32
269.46,washington,1022,2024-01-08 10:32
304.22,ouagadougou,1014,2024-01-08 10:32
303.38,accra,1012,2024-01-08 10:32
283.77,paris,1002,2024-01-02 01:11
285.0,london,986,2024-01-02 01:11
274.59,washington,1027,2024-01-02 01:11
295.42,ouagadougou,1014,2024-01-02 01:11
300.9,accra,1012,2024-01-02 01:11
283.77,paris,1002,2024-01-02 01:10
285.06,london,988,2024-01-02 01:10
274.59,washington,1027,2024-01-02 01:10
295.42,ouagadougou,1014,2024-01-02 01:10
300.9,accra,1012,2024-01-02 01:10
283.73,paris,1002,2024-01-02 01:09
285.06,london,988,2024-01-02 01:09
274.59,washington,1027,2024-01-02 01:09
295.42,ouagadougou,1014,2024-01-02 01:09
300.9,accra,1012,2024-01-02 01:09
283.73,paris,1002,2024-01-02 01:08
285.06,london,988,2024-01-02 01:08
274.59,washington,1027,2024-01-02 01:08
295.42,ouagadougou,1014,2024-01-02 01:08
300.9,accra,1012,2024-01-02 01:08
283.73,paris,1002,2024-01-02 01:07
285.06,london,988,2024-01-02 01:07
274.59,washington,1027,2024-01-02 01:07
295.42,ouagadougou,1014,2024-01-02 01:07
300.9,accra,1012,2024-01-02 01:07
283.7,paris,1002,2024-01-02 00:55
285.04,london,988,2024-01-02 00:55
274.66,washington,1027,2024-01-02 00:55
295.42,ouagadougou,1014,2024-01-02 00:55
302.38,accra,1013,2024-01-02 00:55
283.7,paris,1002,2024-01-02 00:54
285.04,london,988,2024-01-02 00:54
274.66,washington,1027,2024-01-02 00:54
295.42,ouagadougou,1014,2024-01-02 00:54
302.38,accra,1013,2024-01-02 00:54
283.7,paris,1002,2024-01-02 00:53
285.04,london,988,2024-01-02 00:53
274.66,washington,1027,2024-01-02 00:53
295.42,ouagadougou,1014,2024-01-02 00:53
302.38,accra,1013,2024-01-02 00:53
283.7,paris,1002,2024-01-02 00:52
285.04,london,988,2024-01-02 00:52
274.66,washington,1027,2024-01-02 00:52
295.42,ouagadougou,1014,2024-01-02 00:52
302.38,accra,1013,2024-01-02 00:52
283.7,paris,1002,2024-01-02 00:51
285.04,london,988,2024-01-02 00:51
274.66,washington,1027,2024-01-02 00:51
295.42,ouagadougou,1014,2024-01-02 00:51
302.38,accra,1013,2024-01-02 00:51
283.7,paris,1002,2024-01-02 00:50
285.04,london,988,2024-01-02 00:50
274.66,washington,1027,2024-01-02 00:50
295.42,ouagadougou,1014,2024-01-02 00:50
302.38,accra,1013,2024-01-02 00:50
283.72,paris,1002,2024-01-02 00:49
284.97,london,988,2024-01-02 00:49
274.66,washington,1027,2024-01-02 00:49
295.42,ouagadougou,1014,2024-01-02 00:49
302.38,accra,1013,2024-01-02 00:49
283.72,paris,1002,2024-01-02 00:47
284.97,london,988,2024-01-02 00:47
274.66,washington,1027,2024-01-02 00:47
295.42,ouagadougou,1014,2024-01-02 00:47
302.38,accra,1013,2024-01-02 00:47
283.72,paris,1002,2024-01-02 00:46
284.97,london,988,2024-01-02 00:46
274.66,washington,1027,2024-01-02 00:46
295.42,ouagadougou,1014,2024-01-02 00:46
302.38,accra,1013,2024-01-02 00:46
283.72,paris,1002,2024-01-02 00:45
284.97,london,988,2024-01-02 00:45
274.76,washington,1027,2024-01-02 00:45
295.42,ouagadougou,1014,2024-01-02 00:45
302.38,accra,1013,2024-01-02 00:45
283.72,paris,1002,2024-01-02 00:43
284.97,london,988,2024-01-02 00:43
274.76,washington,1027,2024-01-02 00:43
295.42,ouagadougou,1014,2024-01-02 00:43
302.38,accra,1013,2024-01-02 00:43
283.73,paris,1002,2024-01-02 00:35
284.77,london,987,2024-01-02 00:35
274.76,washington,1027,2024-01-02 00:35
295.42,ouagadougou,1014,2024-01-02 00:35
302.38,accra,1013,2024-01-02 00:35
283.62,paris,1003,2024-01-02 00:04
284.34,london,987,2024-01-02 00:04
274.99,washington,1027,2024-01-02 00:04
296.01,ouagadougou,1014,2024-01-02 00:04
301.07,accra,1013,2024-01-02 00:04
283.46,paris,1003,2024-01-02 00:03
284.34,london,987,2024-01-02 00:03
274.99,washington,1027,2024-01-02 00:03
296.01,ouagadougou,1014,2024-01-02 00:03
301.07,accra,1013,2024-01-02 00:03
283.46,paris,1003,2024-01-02 00:01
284.34,london,987,2024-01-02 00:01
275.17,washington,1027,2024-01-02 00:01
296.22,ouagadougou,1015,2024-01-02 00:01
302.38,accra,1013,2024-01-02 00:01
283.46,paris,1003,2024-01-02 00:00
284.34,london,987,2024-01-02 00:00
275.17,washington,1027,2024-01-02 00:00
296.22,ouagadougou,1015,2024-01-02 00:00
302.38,accra,1013,2024-01-02 00:00
283.46,paris,1003,2024-01-01 23:59
284.32,london,987,2024-01-01 23:59
275.17,washington,1027,2024-01-01 23:59
296.22,ouagadougou,1015,2024-01-01 23:59
302.38,accra,1013,2024-01-01 23:59
283.46,paris,1003,2024-01-01 23:58
284.32,london,987,2024-01-01 23:58
275.17,washington,1027,2024-01-01 23:58
296.22,ouagadougou,1015,2024-01-01 23:58
302.38,accra,1013,2024-01-01 23:58
283.46,paris,1003,2024-01-01 23:57
284.32,london,987,2024-01-01 23:57
275.17,washington,1027,2024-01-01 23:57
296.22,ouagadougou,1015,2024-01-01 23:57
302.38,accra,1013,2024-01-01 23:57
283.46,paris,1003,2024-01-01 23:56
284.32,london,987,2024-01-01 23:56
275.17,washington,1027,2024-01-01 23:56
296.22,ouagadougou,1015,2024-01-01 23:56
302.38,accra,1013,2024-01-01 23:56
283.46,paris,1003,2024-01-01 23:54
284.32,london,987,2024-01-01 23:54
275.17,washington,1027,2024-01-01 23:54
296.22,ouagadougou,1015,2024-01-01 23:54
302.38,accra,1013,2024-01-01 23:54
283.46,paris,1003,2024-01-01 23:53
284.32,london,987,2024-01-01 23:53
275.17,washington,1027,2024-01-01 23:53
296.22,ouagadougou,1015,2024-01-01 23:53
302.38,accra,1013,2024-01-01 23:53
283.5,paris,1003,2024-01-01 23:52
284.32,london,987,2024-01-01 23:52
275.17,washington,1027,2024-01-01 23:52
296.22,ouagadougou,1015,2024-01-01 23:52
302.38,accra,1013,2024-01-01 23:52
283.5,paris,1003,2024-01-01 23:50
284.32,london,987,2024-01-01 23:50
275.06,washington,1027,2024-01-01 23:50
296.22,ouagadougou,1015,2024-01-01 23:50
302.38,accra,1013,2024-01-01 23:50
283.5,paris,1003,2024-01-01 23:49
284.31,london,987,2024-01-01 23:49
275.06,washington,1027,2024-01-01 23:49
296.22,ouagadougou,1015,2024-01-01 23:49
302.38,accra,1013,2024-01-01 23:49
283.5,paris,1003,2024-01-01 23:48
284.31,london,987,2024-01-01 23:48
275.06,washington,1027,2024-01-01 23:48
296.22,ouagadougou,1015,2024-01-01 23:48
302.38,accra,1013,2024-01-01 23:48
283.5,paris,1003,2024-01-01 23:45
284.31,london,987,2024-01-01 23:45
275.06,washington,1027,2024-01-01 23:45
296.22,ouagadougou,1015,2024-01-01 23:45
302.38,accra,1013,2024-01-01 23:45
283.5,paris,1003,2024-01-01 23:44
284.31,london,987,2024-01-01 23:44
275.06,washington,1027,2024-01-01 23:44
296.22,ouagadougou,1015,2024-01-01 23:44
302.38,accra,1013,2024-01-01 23:44
283.5,paris,1003,2024-01-01 23:43
284.31,london,987,2024-01-01 23:43
275.06,washington,1027,2024-01-01 23:43
296.22,ouagadougou,1015,2024-01-01 23:43
302.38,accra,1013,2024-01-01 23:43
283.5,paris,1003,2024-01-01 23:42
284.31,london,987,2024-01-01 23:42
275.06,washington,1027,2024-01-01 23:42
296.22,ouagadougou,1015,2024-01-01 23:42
302.38,accra,1013,2024-01-01 23:42
283.12,paris,1003,2024-01-01 23:41
284.31,london,987,2024-01-01 23:41
275.06,washington,1027,2024-01-01 23:41
296.22,ouagadougou,1015,2024-01-01 23:41
302.38,accra,1013,2024-01-01 23:41
283.06,paris,1003,2024-01-01 23:40
284.31,london,987,2024-01-01 23:40
275.06,washington,1026,2024-01-01 23:40
296.22,ouagadougou,1015,2024-01-01 23:40
302.38,accra,1013,2024-01-01 23:40
283.06,paris,1003,2024-01-01 23:39
284.31,london,987,2024-01-01 23:39
275.06,washington,1026,2024-01-01 23:39
296.22,ouagadougou,1015,2024-01-01 23:39
302.38,accra,1013,2024-01-01 23:39
283.06,paris,1003,2024-01-01 23:38
284.31,london,987,2024-01-01 23:38
275.06,washington,1026,2024-01-01 23:38
296.22,ouagadougou,1015,2024-01-01 23:38
302.38,accra,1013,2024-01-01 23:38
283.06,paris,1003,2024-01-01 23:37
